[2014-07-02 16:19:53] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 16:20:39] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 16:33:36] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-07-02 19:12:33] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 20:31:29] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 20:36:53] EDIT RegressionReport/views/default/index.html: 1
[2014-07-02 20:40:45] EDIT RegressionReport/views/default/index.html: -3
[2014-07-02 20:45:17] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 20:45:52] EDIT RegressionReport/views/default/index.html: -3
[2014-07-02 20:47:15] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 20:48:02] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 20:48:37] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 20:49:55] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 20:51:06] EDIT RegressionReport/views/default/index.html: 3
[2014-07-02 20:51:33] EDIT RegressionReport/views/default/index.html: 1
[2014-07-02 21:01:09] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 21:01:48] EDIT RegressionReport/views/default/index.html: -1
[2014-07-02 21:02:14] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 21:15:02] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 21:19:50] EDIT RegressionReport/views/default/index.html: 2
[2014-07-02 21:20:19] EDIT RegressionReport/views/default/index.html: -2
[2014-07-02 21:20:39] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 21:25:57] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 21:27:26] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 21:28:04] EDIT RegressionReport/views/default/index.html: -1
[2014-07-02 21:28:23] EDIT RegressionReport/controllers/default.py: 3
[2014-07-02 21:33:49] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 21:39:06] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 21:41:04] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 21:43:01] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 21:54:46] EDIT RegressionReport/controllers/default.py: 4
[2014-07-02 22:11:19] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 22:11:42] EDIT RegressionReport/views/default/index.html: 0
[2014-07-02 22:27:24] EDIT RegressionReport/models/db.py: 0
[2014-07-02 22:27:25] EDIT RegressionReport/models/db.py: 0
[2014-07-02 22:27:29] EDIT RegressionReport/views/default/index.html: 7
[2014-07-02 22:27:31] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 22:27:34] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 00:24:16] EDIT RegressionReport/controllers/default.py: 3
[2014-07-03 00:24:53] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 00:26:03] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 00:28:10] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 00:29:18] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 00:30:03] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 00:43:51] EDIT RegressionReport/controllers/default.py: 6
[2014-07-03 00:45:43] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 00:46:31] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 00:47:01] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 00:47:31] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 00:56:55] EDIT RegressionReport/controllers/default.py: 11
[2014-07-03 00:59:23] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 01:01:04] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-03 01:01:06] EDIT RegressionReport/controllers/default.py: 0
[2014-07-03 01:01:09] EDIT RegressionReport/views/default/index.html: 0
[2014-07-03 01:01:12] EDIT RegressionReport/models/db.py: 0
[2014-07-03 01:03:18] EDIT RegressionReport/controllers/default.py: 1
[2014-07-03 01:04:11] EDIT RegressionReport/models/db.py: 0
